id,title,genre,description
56,The Liar's Club: A Memoir,memoir,<The Liar's Club: A Memoir> is a memoir about Mary Karr's tumultuous childhood growing up in an East Texas oil town with a mentally ill mother and an alcoholic father.
57,The Stone Diaries,fiction|biographical novel|historical novel,"<The Stone Diaries> is a biographical novel about the life of Daisy Goodwill Flett, exploring themes of identity, memory, and the complexities of human experience."
58,Songs in Ordinary Time (Oprah's Book Club (Paperback)),fiction|drama|family drama,<Songs in Ordinary Time (Oprah's Book Club (Paperback))> is a family drama book about an impoverished single mother and her children who become entangled with a charming con artist in a small New England town in the 1960
59,At Home in Mitford (The Mitford Years),fiction|contemporary|christian fiction,"<At Home in Mitford (The Mitford Years)> is a contemporary Christian fiction novel about Father Tim, a small-town Episcopal priest in Mitford, and the quirky characters and heartwarming stories that make up his community."
60,A Light in the Window (The Mitford Years),Fiction|Christian Fiction|Contemporary fiction,"<A Light in the Window (The Mitford Years)> is a Christian fiction novel about the small town of Mitford where Episcopal priest Father Tim deals with love, loss, and community."
61,"These High, Green Hills (The Mitford Years)",fiction|contemporary|Christian fiction,"<These High, Green Hills (The Mitford Years)> is a contemporary Christian fiction book that follows Father Tim as he navigates the joys and challenges of small-town life in the charming town of Mitford."
62,A New Song (Mitford Years (Paperback)),fiction|Christian fiction|contemporary romance,"<A New Song (Mitford Years (Paperback))> is a Christian fiction book about a small-town Episcopal priest navigating love, loss, and faith in the charming town of Mitford."
63,Bridget Jones's Diary,romantic comedy|chick lit,<Bridget Jones's Diary> is a romantic comedy chick lit book about a single woman in her thirties navigating the ups and downs of dating and relationships while trying to improve her career and personal life.
64,The Girls' Guide to Hunting and Fishing,Fiction|Romance|Women's Fiction,<The Girls' Guide to Hunting and Fishing> is a Women's Fiction book about a young woman navigating love and relationships through a series of humorous and heartwarming vignettes.
65,Girl in Hyacinth Blue,historical fiction|literary fiction,"<Girl in Hyacinth Blue> is a historical fiction/literary fiction book about the journey of a mysterious painting depicting a young girl in a blue dress, exploring the impact it has on various lives across different time periods."
66,Bridget Jones: The Edge of Reason,romance|comedy|chick lit,<Bridget Jones: The Edge of Reason> is a romantic comedy chick lit novel that follows Bridget as she navigates the ups and downs of her relationship with Mark Darcy while facing new challenges and hilarious mishaps.
67,Chocolat,fiction|literature|contemporary fiction|drama,"<Chocolat> is a contemporary fiction novel about Vianne Rocher, a mysterious chocolatier who arrives in a conservative French village and disrupts its strict social order with her indulgent creations and unconventional beliefs."
68,Bridget Jones's Diary,romance|humor|chick lit,<Bridget Jones's Diary> is a romance|humor|chick lit book about a quirky British woman navigating her love life and career while keeping a hilarious diary of her mishaps and adventures.
69,Icy Sparks,Fiction|Historical fiction|Literature,<Icy Sparks> is a historical fiction novel about a young girl in 1950s Kentucky who struggles with Tourette's syndrome and faces discrimination and isolation from her community.
70,Year of Wonders,historical fiction|drama,"<Year of Wonders> is a historical fiction novel about a village in England during the plague outbreak of 1665, as a young woman grapples with loss, fear, and resilience."
71,The Secret Life of Bees,fiction|drama|coming-of-age,<The Secret Life of Bees> is a coming-of-age fiction book about a young girl named Lily Owens who runs away from her abusive father and finds solace and family in a group of beekeeping sisters in South Carolina.
72,The Eyre Affair: A Novel,mystery|fantasy|science fiction,"<The Eyre Affair: A Novel> is a mystery|fantasy|science fiction book about literary detective Thursday Next who must enter the world of Charlotte Bronte's ""Jane Eyre"" to solve a case involving the kidnapping of characters from"
73,"Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players",Non-fiction|Memoir|Games|Sports,"<Word Freak: Heartbreak, Triumph, Genius, and Obsession in the World of Competitive Scrabble Players> is a memoir about journalist Stefan Fatsis's journey into the competitive world of Scrabble, where he becomes immersed in the lives of"
74,East of Eden (Oprah's Book Club),fiction|literary fiction|historical fiction,"<East of Eden (Oprah's Book Club)> is a literary fiction book about the intertwined destinies of two families in California's Salinas Valley, exploring themes of good and evil, history, and the power of choice."
75,The Crimson Petal and the White,historical fiction|drama|literature,<The Crimson Petal and the White> is a historical fiction book about the intertwining lives of a Victorian prostitute and a wealthy businessman in 19th century London.
76,Where or When  : A Novel,fiction|romance|historical fiction,"<Where or When  : A Novel> is a historical fiction romance book about a woman who discovers a long-lost love letter hidden in a book, prompting her to revisit a past romance that ended tragically."
77,Life of Pi,adventure|fantasy|drama,<Life of Pi> is an adventure|fantasy|drama book about a young Indian boy who survives a shipwreck and is left stranded on a lifeboat in the Pacific Ocean with a Bengal tiger named Richard Parker.
78,The Crimson Petal and the White,historical fiction|drama|romance,<The Crimson Petal and the White> is a historical fiction novel about a young prostitute in Victorian London who seeks to improve her life and escape the confines of her profession.
79,Mrs Dalloway,modernist|fiction|stream of consciousness,"<Mrs Dalloway> is a modernist fiction book about a day in the life of Clarissa Dalloway as she prepares for a party, navigating through her memories and emotions."
80,The Red Tent (Bestselling Backlist),historical fiction|biblical fiction|women's fiction,"<The Red Tent (Bestselling Backlist)> is a historical fiction book about the lesser-known stories and experiences of women in the biblical era, focusing on the life of Dinah, daughter of Jacob and Leah."
81,I Capture the Castle,coming-of-age|classic|romance,<I Capture the Castle> is a coming-of-age classic romance novel about a young girl named Cassandra who writes in her journal about her eccentric family living in a crumbling English castle in the 1930s.
82,The Hours : A Novel,literary fiction|contemporary fiction|LGBTQ+ fiction,"<The Hours : A Novel> is a literary fiction book about the interconnected lives of three women from different time periods who are all affected by Virginia Woolf's novel ""Mrs. Dalloway."""
83,To the Nines: A Stephanie Plum Novel,mystery|humor|crime fiction,<To the Nines: A Stephanie Plum Novel> is a mystery|humor|crime fiction book about bounty hunter Stephanie Plum tracking down a missing person while dealing with a mysterious stalker and navigating her complicated love life.
84,The Nanny Diaries: A Novel,fiction|humor|contemporary fiction,<The Nanny Diaries: A Novel> is a contemporary fiction book about a young nanny navigating the eccentricities and challenges of working for a wealthy Manhattan family.
85,Ten Big Ones: A Stephanie Plum Novel,mystery|crime fiction,<Ten Big Ones: A Stephanie Plum Novel> is a mystery/crime fiction book about bounty hunter Stephanie Plum who finds herself in danger after witnessing a crime and must navigate through chaos to catch the criminals.
86,The Nanny Diaries: A Novel,fiction|comedy|drama,<The Nanny Diaries: A Novel> is a fiction|comedy|drama book about a young nanny navigating the challenges of working for a wealthy and dysfunctional family on the Upper East Side of Manhattan.
87,The Hours: A Novel,fiction|literary fiction|contemporary fiction,"<The Hours: A Novel> is a literary fiction book about three women living in different time periods whose lives are interconnected through Virginia Woolf's novel ""Mrs. Dalloway."""
88,Visions of Sugar Plums,mystery|humor|holiday,<Visions of Sugar Plums> is a mystery|humor|holiday book about bounty hunter Stephanie Plum's quirky Christmas adventure involving a strange man in her kitchen and a case of missing elves.
89,The Dirty Girls Social Club: A Novel,women's fiction|contemporary fiction,"<The Dirty Girls Social Club: A Novel> is a contemporary fiction book about six Latina friends navigating life, love, and career challenges in Los Angeles."
90,Middlesex: A Novel,coming-of-age|historical fiction|family saga,"<Middlesex: A Novel> is a coming-of-age family saga that follows the story of Cal, who was born intersex and raised as a girl before discovering his true identity as a man."
91,Running with Scissors: A Memoir,memoir,<Running with Scissors: A Memoir> is a darkly humorous memoir about Augusten Burroughs' unconventional and chaotic upbringing after being sent to live with his mother's psychiatrist and his eccentric family.
92,Silence of the Lambs,crime fiction|thriller|psychological thriller|horror,"<Silence of the Lambs> is a psychological thriller about FBI trainee Clarice Starling seeking the help of incarcerated cannibalistic serial killer Dr. Hannibal Lecter to catch another serial killer known as ""Buffalo Bill."""
93,September,fiction|romance|family drama,"<September> is a fiction|romance|family drama book about the lives of a group of family and friends who reunite at a beautiful Scottish estate for a special celebration, leading to unexpected revelations and emotional discoveries."
94,A Simple Plan,thriller|crime fiction|mystery,<A Simple Plan> is a thriller book about three men who find a bag of money in the woods and make a decision that sets off a chain of deadly consequences.
95,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel),mystery|crime fiction,<Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)> is a mystery|crime fiction book about bounty hunter Stephanie Plum hunting down a beloved local candy store owner who skipped bail for selling stolen merchandise.
96,Tell Me Lies (Tell Me Lies),romance,"<Tell Me Lies (Tell Me Lies)> is a romance book about a woman who teams up with a charming con artist to uncover a secret in her small town, leading to unexpected romance and danger."
97,Four To Score (A Stephanie Plum Novel),Mystery|Crime fiction|Humor,<Four To Score (A Stephanie Plum Novel)> is a humorous mystery and crime fiction book about bounty hunter Stephanie Plum tracking down a scam artist while dealing with various mishaps and quirky characters along the way.
98,Crazy for You,romance|comedy,<Crazy for You> is a romance/comedy book about a woman who gets tangled up in a zany scheme with her ex-boyfriend's brother while trying to save her failing business.
99,High Five (A Stephanie Plum Novel),mystery|suspense|humor,<High Five (A Stephanie Plum Novel)> is a mystery|suspense|humor book about bounty hunter Stephanie Plum's hilarious and perilous adventures tracking down a fugitive who also happens to be her ex-boyfriend.
100,Welcome to Temptation,romance|comedy,<Welcome to Temptation> is a romance-comedy book about two sisters who get caught up in a scandalous small-town murder investigation while attempting to film a documentary.
101,Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel),mystery|humor|crime fiction,<Hot Six : A Stephanie Plum Novel (A Stephanie Plum Novel)> is a mystery|humor|crime fiction book about bounty hunter Stephanie Plum tracking down a dangerous mobster while dealing with quirky characters and hilarious situations.
102,Winter Solstice,fiction|romance|family drama,<Winter Solstice> is a heartwarming fiction and romance novel that follows the lives of five strangers who come together to form a makeshift family during the Christmas season in a picturesque Scottish village.
103,Now You See Me,mystery|suspense,<Now You See Me> is a mystery|suspense book about a woman with psychic abilities who teams up with a skeptical detective to solve a series of murders that may be connected to her past.
104,Seven Up (A Stephanie Plum Novel),mystery|humor|crime fiction,<Seven Up (A Stephanie Plum Novel)> is a mystery/crime fiction book about bounty hunter Stephanie Plum's latest hilarious and dangerous assignment to find a missing waitress.
105,Fast Women,romance|contemporary romance,<Fast Women> is a contemporary romance novel about a group of women who team up to uncover the truth behind a scandal involving their late boss's widow.
106,Full House (Janet Evanovich's Full Series),mystery|romance|humor,<Full House (Janet Evanovich's Full Series)> is a mystery|romance|humor book about a divorced mother balancing her chaotic life with her quirky family while navigating a new romance with a sexy bounty hunter.
107,Full Tilt (Janet Evanovich's Full Series),mystery|suspense|romance,<Full Tilt (Janet Evanovich's Full Series)> is a mystery|suspense|romance book about a woman who must navigate danger and romance as she investigates a series of mysterious events.
108,Full Speed (Janet Evanovich's Full Series),mystery|romance|hilarious fiction,<Full Speed (Janet Evanovich's Full Series)> is a mystery|romance|hilarious fiction book about a former country music star turned bounty hunter and her sexy sidekick as they track down a fugitive while navigating their complicated relationship.
109,Faking It,romance|romantic comedy,"<Faking It> is a romantic comedy book about a con artist and an art forger who team up to pull off a scam, leading to unexpected romance and chaos."
110,Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel),mystery|crime fiction|humor,"<Hard Eight : A Stephanie Plum Novel (A Stephanie Plum Novel)> is a mystery and crime fiction book about bounty hunter Stephanie Plum tracking down a missing mother, encountering danger and humor along the way."
111,Visions of Sugar Plums: A Stephanie Plum Holiday Novel,holiday fiction|romance|mystery,"<Visions of Sugar Plums: A Stephanie Plum Holiday Novel> is a holiday fiction book about bounty hunter Stephanie Plum's quest to find a missing toy store owner during the Christmas season, while also dealing with supernatural occurrences and a mysterious man named Diesel"
112,One for the Money (A Stephanie Plum Novel),crime fiction|mystery,"""One for the Money (A Stephanie Plum Novel)"" is a crime fiction book about a rookie bounty hunter named Stephanie Plum who sets out to catch a dangerous fugitive while navigating the chaotic world of bail bonds and crime in New Jersey."
113,Digital Fortress : A Thriller,thriller|mystery|techno-thriller,"<Digital Fortress : A Thriller> is a techno-thriller book about a top-secret NSA code-breaking machine, a deadly virus threatening national security, and the race to stop a cyber-attack."
114,Sea Glass: A Novel,fiction|romance|historical fiction,"<Sea Glass: A Novel> is a historical fiction romance novel set in the 1920s, following the intertwined lives of a young couple and a group of factory workers during the Great Depression."
115,Lucky : A Memoir,memoir|autobiography,<Lucky : A Memoir> is a memoir about Alice Sebold's brutal rape as a college student and her journey towards healing and justice.
116,The Dogs of Babel (Today Show Book Club #12),fiction|drama|psychological fiction,<The Dogs of Babel (Today Show Book Club #12)> is a psychological fiction book about a grieving linguist who tries to unravel the mystery of his wife's death by teaching their dog to talk.
117,White Oleander : A Novel (Oprah's Book Club),fiction|drama |family relationships,<White Oleander : A Novel (Oprah's Book Club)> is a fiction/drama book about a young girl's journey through the foster care system after her mother is imprisoned for murder.
118,White Oleander : A Novel,drama|fiction,<White Oleander : A Novel> is a drama book about a young girl's journey through foster care and the challenges she faces as she navigates her tumultuous relationships with her mother and the various women who take her in.
119,The Pilot's Wife : A Novel,fiction|drama|suspense,"<The Pilot's Wife : A Novel> is a suspenseful drama about a woman who discovers unsettling secrets about her husband, a pilot, after his sudden death in a plane crash."
120,The Jester,crime fiction|mystery|thriller,"<The Jester> is a crime fiction book about a man seeking revenge on the king who destroyed his life, leading to a thrilling and suspenseful tale of betrayal and redemption."
121,1st to Die: A Novel,mystery|suspense|thriller,<1st to Die: A Novel> is a suspenseful thriller about a group of women detectives working together to catch a serial killer targeting newlywed couples.
122,The Lovely Bones: A Novel,Fiction|Suspense|Mystery,<The Lovely Bones: A Novel> is a suspenseful and haunting book about a young girl who watches over her family from the afterlife after she is brutally murdered.
123,Fortune's Rocks : A Novel,historical fiction|romance,<Fortune's Rocks : A Novel> is a historical fiction|romance book about a scandalous love affair between a young woman and a wealthy older man in turn-of-the-century New England.
124,Four Blind Mice,Thriller|Crime fiction,<Four Blind Mice> is a thriller/crime fiction book about Detective Alex Cross investigating a series of murders committed by a group of corrupt soldiers.
125,2nd Chance,suspense|crime fiction,<2nd Chance> is a suspenseful crime fiction book about the Women's Murder Club investigating a series of murders targeting teachers in San Francisco.
126,Violets Are Blue,mystery|thriller,<Violets Are Blue> is a thrilling mystery novel about Detective Alex Cross who investigates a series of gruesome murders committed by a psychopathic killer.
127,The Catcher in the Rye,Coming of Age|Literary Fiction|Mental Health,<The Catcher in the Rye> is a Coming of Age|Literary Fiction|Mental Health book about a teenage boy named Holden Caulfield who struggles with growing up and navigating the complexities of adulthood while mourning the loss of innocence in the world
128,Me Talk Pretty One Day,memoir|humor,<Me Talk Pretty One Day> is a humorous memoir about David Sedaris's experiences living in France and trying to learn the language.
129,The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion,drama|relationship fiction|historical fiction,<The Weight of Water : A Novel Tag: Author of Resistance and Strange Fits of Passion> is a historical fiction book about a photographer uncovering a dark family secret while researching a century-old crime on an isolated island.
130,Fortune's Rocks: A Novel,historical fiction|romance,<Fortune's Rocks: A Novel> is a historical fiction|romance book about a scandalous love affair between a young woman and a wealthy older man in early 20th century New England.
131,The Last Time They Met : A Novel,romance|literary fiction,"<The Last Time They Met : A Novel> is a romance and literary fiction book that follows the tumultuous love story between two poets over three decades, exploring themes of loss, betrayal, and redemption."
132,The Weight of Water,fiction|drama|historical fiction,<The Weight of Water> is a historical fiction book about a photographer who uncovers a dark family secret while researching a 19th-century murder case on the coast of New Hampshire.
133,The Pilot's Wife,fiction|drama|mystery,<The Pilot's Wife> is a fiction|drama|mystery book about a woman who discovers shocking secrets about her husband's life after his sudden death in a plane crash.
134,The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover)),domestic fiction|psychological fiction|mystery,<The Pilot's Wife : A Novel Tag: Author of the Weight of Water (Oprah's Book Club (Hardcover))> is a psychological fiction book about a woman who discovers shocking secrets about her husband after his sudden death in a plane
135,"River, Cross My Heart",historical fiction|family drama,"<River, Cross My Heart> is a historical fiction|family drama book about a young girl navigating the complexities of loss, love, and community in 1920s Georgetown."
136,Suzanne's Diary for Nicholas,romance|drama,<Suzanne's Diary for Nicholas> is a heart-wrenching romance novel about a woman named Katie who discovers her boyfriend's late wife's diary and learns about their beautiful love story.
137,Moreta: Dragonlady of Pern,fantasy|science fiction,<Moreta: Dragonlady of Pern> is a fantasy book about a strong and courageous dragonrider who must navigate political intrigue and a deadly plague in order to save her world.
138,2010: Odyssey Two,Science fiction,<2010: Odyssey Two> is a science fiction novel about a mission to Jupiter to investigate the mysterious monolith and the discovery of a sentient alien intelligence.
139,Private Screening,mystery|suspense,<Private Screening> is a mystery|suspense book about a high-profile attorney who becomes entangled in a murder investigation while representing a famous actor accused of killing his wife.
140,"The Vampire Lestat (Vampire Chronicles, Book II)",horror|fantasy|gothic fiction,"<The Vampire Lestat (Vampire Chronicles, Book II)> is a horror|fantasy|gothic fiction book about the awakening of a charismatic and enigmatic vampire who shares his centuries-long journey of immortality and longing for connection with humanity"
141,Sword of Shannara,fantasy|adventure,<Sword of Shannara> is a fantasy adventure book about a young man named Shea Ohmsford who must wield a powerful sword to defeat an evil warlock threatening the world.
